"STCode","DTCode","DTName","SDTCode","SDTName","TVCode","Name"
"04","000","CHANDIGARH","00000","CHANDIGARH","000000","CHANDIGARH"
"04","055","Chandigarh","00000","Chandigarh","000000","Chandigarh"
"04","055","Chandigarh","00277","Chandigarh","000000","Chandigarh"
"04","055","Chandigarh","00277","Chandigarh","040089","Kaimbwala"
"04","055","Chandigarh","00277","Chandigarh","040090","Sarangpur"
"04","055","Chandigarh","00277","Chandigarh","040091","Dhanas"
"04","055","Chandigarh","00277","Chandigarh","040092","Raipur Khurd"
"04","055","Chandigarh","00277","Chandigarh","040093","Raipur Kalan & Makhan Majra"
"04","055","Chandigarh","00277","Chandigarh","040094","Khuda Alisher"
"04","055","Chandigarh","00277","Chandigarh","040095","Mani Majra (R), Basti Kishangarh, Basti Bhagwanpur"
"04","055","Chandigarh","00277","Chandigarh","040096","Daria"
"04","055","Chandigarh","00277","Chandigarh","040097","Mauli Jagran"
"04","055","Chandigarh","00277","Chandigarh","040098","Behlana"
"04","055","Chandigarh","00277","Chandigarh","040099","Lahora"
"04","055","Chandigarh","00277","Chandigarh","040100","Khuda Jassu"